timestamp,field1,field2,field3,field4,field5,field6,field7
2026-04-08 00:04:16,6.00,54.00,21.98,97.62,1021.15,20.90,757.00
2026-04-08 00:09:16,6.00,54.00,21.96,97.63,1021.21,20.90,758.00
2026-04-08 00:14:16,6.00,54.00,21.97,97.68,1021.20,20.90,761.00
2026-04-08 00:19:16,6.00,54.00,21.97,97.64,1021.21,20.90,768.00
2026-04-08 00:24:16,6.00,53.00,21.96,97.66,1021.20,20.90,763.00
2026-04-08 00:29:16,6.00,54.00,21.97,97.65,1021.24,20.90,765.00
2026-04-08 00:34:16,5.00,53.00,21.94,97.66,1021.22,20.90,771.00
2026-04-08 00:39:16,6.00,53.00,21.96,97.65,1021.27,20.90,774.00
2026-04-08 00:44:16,6.00,53.00,21.95,97.66,1021.25,20.90,783.00
2026-04-08 00:49:16,6.00,55.00,21.95,97.66,1021.23,20.90,790.00
2026-04-08 00:54:16,6.00,54.00,21.95,97.65,1021.19,20.90,792.00
2026-04-08 00:59:16,6.00,54.00,21.94,97.64,1021.21,20.90,789.00
2026-04-08 01:04:16,6.00,54.00,21.95,97.63,1021.33,20.90,791.00
2026-04-08 01:09:16,6.00,53.00,21.93,97.63,1021.32,20.90,789.00
2026-04-08 01:14:16,6.00,53.00,21.94,97.66,1021.43,20.90,801.00
2026-04-08 01:19:16,5.00,53.00,21.93,97.61,1021.37,20.90,804.00
2026-04-08 01:24:16,5.00,53.00,21.94,97.66,1021.36,20.90,800.00
2026-04-08 01:29:16,6.00,54.00,21.94,97.73,1021.34,20.90,803.00
2026-04-08 01:34:16,6.00,53.00,21.94,97.65,1021.33,20.90,806.00
2026-04-08 01:39:16,6.00,54.00,21.94,97.64,1021.33,20.90,807.00
2026-04-08 01:44:16,6.00,54.00,21.92,97.62,1021.42,20.90,805.00
2026-04-08 01:49:16,5.00,53.00,21.93,97.61,1021.42,20.90,808.00
2026-04-08 01:54:16,6.00,53.00,21.92,97.62,1021.50,20.90,820.00
2026-04-08 01:59:16,6.00,53.00,21.94,97.67,1021.51,20.90,822.00
2026-04-08 02:04:16,6.00,53.00,21.94,97.64,1021.55,20.90,823.00
2026-04-08 02:09:16,6.00,53.00,21.93,97.68,1021.63,20.90,829.00
2026-04-08 02:14:16,6.00,53.00,21.94,97.67,1021.74,20.90,834.00
2026-04-08 02:19:16,6.00,53.00,21.91,97.66,1021.71,20.90,839.00
2026-04-08 02:24:16,6.00,53.00,21.93,97.67,1021.67,20.90,845.00
2026-04-08 02:29:16,7.00,54.00,21.91,97.68,1021.64,20.90,848.00
2026-04-08 02:34:16,6.00,54.00,21.92,97.68,1021.60,20.90,844.00
2026-04-08 02:39:16,6.00,53.00,21.92,97.68,1021.63,20.90,853.00
2026-04-08 02:44:16,5.00,52.00,21.91,97.68,1021.61,20.90,852.00
2026-04-08 02:49:16,5.00,53.00,21.92,97.68,1021.69,20.90,857.00
2026-04-08 02:54:16,6.00,54.00,21.90,97.69,1021.57,20.90,866.00
2026-04-08 02:59:16,6.00,54.00,21.92,97.68,1021.59,20.90,867.00
2026-04-08 03:04:16,6.00,54.00,21.91,97.71,1021.58,20.90,870.00
2026-04-08 03:09:16,5.00,54.00,21.92,97.68,1021.58,20.90,873.00
2026-04-08 03:14:16,6.00,54.00,21.92,97.62,1021.51,20.90,879.00
2026-04-08 03:19:16,5.00,54.00,21.91,97.73,1021.51,20.90,875.00
2026-04-08 03:24:16,6.00,53.00,21.91,97.67,1021.62,20.90,874.00
2026-04-08 03:29:16,6.00,47.00,21.90,97.66,1021.65,20.90,878.00
2026-04-08 03:34:16,6.00,53.00,21.92,97.69,1021.62,20.90,882.00
2026-04-08 03:39:16,6.00,53.00,21.89,97.68,1021.70,20.90,885.00
2026-04-08 03:44:16,6.00,54.00,21.91,97.67,1021.71,20.90,882.00
2026-04-08 03:49:16,4.00,53.00,21.90,97.66,1021.66,20.90,891.00
2026-04-08 03:54:16,6.00,54.00,21.90,97.67,1021.59,20.90,898.00
2026-04-08 03:59:16,6.00,53.00,21.91,97.70,1021.72,20.90,895.00
2026-04-08 04:04:16,5.00,53.00,21.88,97.69,1021.76,20.90,906.00
2026-04-08 04:09:16,6.00,53.00,21.90,97.69,1021.86,20.90,906.00
2026-04-08 04:14:16,6.00,54.00,21.89,97.66,1021.88,20.90,916.00
2026-04-08 04:19:16,6.00,53.00,21.90,97.67,1021.86,20.90,915.00
2026-04-08 04:24:16,6.00,53.00,21.90,97.68,1021.90,20.90,915.00
2026-04-08 04:29:16,6.00,53.00,21.89,97.67,1021.86,20.90,912.00
2026-04-08 04:34:16,6.00,53.00,21.90,97.67,1021.79,20.90,922.00
2026-04-08 04:39:16,6.00,54.00,21.88,97.69,1021.83,20.90,921.00
2026-04-08 04:44:16,7.00,54.00,21.90,97.69,1021.85,20.90,933.00
2026-04-08 04:49:16,6.00,54.00,21.88,97.68,1021.90,20.90,936.00
2026-04-08 04:54:16,6.00,53.00,21.89,97.70,1021.87,20.90,934.00
2026-04-08 04:59:16,6.00,53.00,21.90,97.71,1021.93,20.90,933.00
2026-04-08 05:04:16,78.00,54.00,21.95,97.74,1021.91,20.90,933.00
2026-04-08 05:09:16,77.00,54.00,22.04,97.77,1021.87,20.90,931.00
2026-04-08 05:14:16,76.00,53.00,22.14,97.81,1021.87,20.90,930.00
2026-04-08 05:19:16,77.00,53.00,22.19,97.82,1021.96,21.00,932.00
2026-04-08 05:24:16,77.00,53.00,22.24,97.81,1021.93,21.00,929.00
2026-04-08 05:29:16,77.00,53.00,22.28,97.79,1021.98,21.00,934.00
2026-04-08 05:34:16,77.00,54.00,22.30,97.76,1022.13,21.00,931.00
2026-04-08 05:39:16,77.00,53.00,22.32,97.74,1022.09,21.00,931.00
2026-04-08 05:44:16,77.00,54.00,22.33,97.72,1022.04,21.00,925.00
2026-04-08 05:49:16,77.00,54.00,22.34,97.72,1021.97,21.00,916.00
2026-04-08 05:54:16,76.00,54.00,22.34,97.67,1021.99,21.00,920.00
2026-04-08 05:59:16,79.00,53.00,22.34,97.61,1022.04,21.00,913.00
2026-04-08 06:04:16,77.00,53.00,22.35,97.60,1022.09,21.00,907.00
2026-04-08 06:09:16,77.00,54.00,22.35,97.52,1022.12,21.00,913.00
2026-04-08 06:14:16,77.00,53.00,22.37,97.58,1022.17,21.00,898.00
2026-04-08 06:19:16,77.00,54.00,22.37,97.53,1022.21,21.00,906.00
2026-04-08 06:24:16,77.00,53.00,22.37,97.55,1022.16,21.00,898.00
2026-04-08 06:29:16,77.00,53.00,22.38,97.51,1022.22,21.00,890.00
2026-04-08 06:34:16,77.00,53.00,22.37,97.52,1022.17,21.00,895.00
2026-04-08 06:39:16,77.00,54.00,22.39,97.48,1022.25,21.00,896.00
2026-04-08 06:44:16,77.00,54.00,22.39,97.48,1022.31,21.00,895.00
2026-04-08 06:49:16,77.00,52.00,22.40,97.47,1022.33,21.00,886.00
2026-04-08 06:54:16,77.00,53.00,22.39,97.48,1022.35,21.00,885.00
2026-04-08 06:59:16,76.00,53.00,22.40,97.41,1022.28,21.00,883.00
2026-04-08 07:04:16,77.00,54.00,22.40,97.41,1022.33,21.00,879.00
2026-04-08 07:09:16,77.00,53.00,22.40,97.39,1022.38,21.00,881.00
2026-04-08 07:14:16,77.00,54.00,22.41,97.40,1022.41,21.00,876.00
2026-04-08 07:19:16,76.00,53.00,22.40,97.42,1022.47,21.00,878.00
2026-04-08 07:24:16,77.00,52.00,22.40,97.42,1022.47,21.00,873.00
2026-04-08 07:29:16,77.00,54.00,22.40,97.43,1022.47,21.00,884.00
2026-04-08 07:34:16,78.00,54.00,22.41,97.45,1022.49,21.00,875.00
2026-04-08 07:39:16,77.00,54.00,22.42,97.42,1022.47,21.00,877.00
2026-04-08 07:44:16,76.00,54.00,22.41,97.42,1022.49,21.00,873.00
2026-04-08 07:49:16,76.00,54.00,22.42,97.42,1022.46,21.00,871.00
2026-04-08 07:54:16,77.00,54.00,22.41,97.46,1022.39,21.00,874.00
2026-04-08 07:59:16,77.00,54.00,22.42,97.43,1022.42,21.00,866.00
2026-04-08 08:04:16,77.00,54.00,22.42,97.42,1022.42,21.00,861.00
2026-04-08 08:09:16,77.00,51.00,22.43,97.43,1022.36,21.00,864.00
2026-04-08 08:14:16,77.00,54.00,22.43,97.39,1022.44,21.00,862.00
2026-04-08 08:19:16,77.00,54.00,22.43,97.42,1022.34,21.00,858.00
2026-04-08 08:24:16,76.00,53.00,22.44,97.41,1022.39,21.00,857.00
2026-04-08 08:29:16,77.00,54.00,22.44,97.39,1022.50,21.00,854.00
2026-04-08 08:34:16,77.00,54.00,22.44,97.39,1022.51,21.00,844.00
2026-04-08 08:39:16,77.00,54.00,22.44,97.41,1022.57,21.00,846.00
2026-04-08 08:44:16,77.00,54.00,22.45,97.39,1022.60,21.00,841.00
2026-04-08 08:49:16,82.00,53.00,22.46,97.38,1022.60,20.90,844.00
2026-04-08 08:54:16,81.00,54.00,22.51,97.40,1022.69,21.00,840.00
2026-04-08 08:59:16,80.00,54.00,22.59,97.46,1022.68,21.00,834.00
2026-04-08 09:04:16,82.00,54.00,22.64,97.59,1022.67,21.00,833.00
2026-04-08 09:09:16,82.00,53.00,22.72,97.70,1022.67,21.00,830.00
2026-04-08 09:14:16,82.00,53.00,22.73,97.79,1022.67,21.00,828.00
2026-04-08 09:19:16,82.00,53.00,22.76,97.84,1022.67,21.00,820.00
2026-04-08 09:24:16,80.00,54.00,22.76,97.86,1022.66,21.00,818.00
2026-04-08 09:29:16,80.00,53.00,22.78,97.89,1022.69,21.00,819.00
2026-04-08 09:34:16,80.00,54.00,22.81,97.88,1022.71,21.00,810.00
2026-04-08 09:39:16,80.00,53.00,22.82,97.84,1022.70,21.00,810.00
2026-04-08 09:44:16,80.00,54.00,22.85,97.82,1022.75,21.00,800.00
2026-04-08 09:49:16,80.00,53.00,22.85,97.79,1022.76,21.00,803.00
2026-04-08 09:54:16,80.00,54.00,22.88,97.80,1022.88,21.00,800.00
2026-04-08 09:59:16,80.00,54.00,22.88,97.79,1022.92,21.00,800.00
2026-04-08 10:04:16,80.00,54.00,22.90,97.77,1022.99,21.00,800.00
2026-04-08 10:09:16,80.00,53.00,22.92,97.80,1023.04,21.00,794.00
2026-04-08 10:14:16,80.00,53.00,22.93,97.76,1022.95,21.00,789.00
2026-04-08 10:19:16,80.00,58.00,22.95,97.73,1022.97,21.00,790.00
2026-04-08 10:24:16,80.00,53.00,22.97,97.72,1023.03,21.00,781.00
2026-04-08 10:29:16,77.00,54.00,23.01,97.71,1023.04,21.00,778.00
2026-04-08 10:34:16,78.00,53.00,23.01,97.70,1023.09,21.00,777.00
2026-04-08 10:39:16,79.00,53.00,22.97,97.67,1023.15,21.00,773.00
2026-04-08 10:44:16,80.00,53.00,22.94,97.66,1023.15,21.00,774.00
2026-04-08 10:49:16,79.00,54.00,22.90,97.57,1023.20,21.00,772.00
2026-04-08 10:54:16,80.00,54.00,22.90,97.57,1023.14,21.00,762.00
2026-04-08 10:59:16,80.00,54.00,22.93,97.59,1023.11,21.00,756.00
2026-04-08 11:04:16,79.00,53.00,22.97,97.60,1023.08,21.00,746.00
2026-04-08 11:09:16,79.00,54.00,22.99,97.66,1023.12,21.00,748.00
2026-04-08 11:14:16,80.00,54.00,23.02,97.69,1023.19,21.00,749.00
2026-04-08 11:19:16,80.00,54.00,23.06,97.72,1023.19,21.00,748.00
2026-04-08 11:24:16,80.00,54.00,23.09,97.72,1023.24,21.00,744.00
2026-04-08 11:29:16,80.00,54.00,23.13,97.70,1023.24,21.00,734.00
2026-04-08 11:34:16,80.00,54.00,23.11,97.68,1023.20,21.00,740.00
2026-04-08 11:39:16,83.00,53.00,23.16,97.66,1023.17,21.00,739.00
2026-04-08 11:44:16,83.00,54.00,23.18,97.71,1023.09,21.00,741.00
2026-04-08 11:49:16,82.00,53.00,23.23,97.73,1023.17,21.10,736.00
2026-04-08 11:54:16,82.00,53.00,23.26,97.73,1023.07,21.10,730.00
