timestamp,field1,field2,field3,field4,field5,field6,field7
2026-02-10 00:00:54,0.00,0.00,20.13,49.13,1005.33,20.20,1773.00
2026-02-10 00:05:54,0.00,18.00,20.12,49.14,1005.22,20.20,1772.00
2026-02-10 00:10:54,0.00,0.00,20.11,49.12,1005.18,20.20,1768.00
2026-02-10 00:15:54,0.00,99.00,20.13,49.11,1005.08,20.20,1766.00
2026-02-10 00:20:54,0.00,99.00,20.12,49.09,1004.96,20.20,1769.00
2026-02-10 00:25:54,0.00,99.00,20.12,49.12,1004.90,20.20,1764.00
2026-02-10 00:30:54,0.00,95.00,20.13,49.09,1004.91,20.20,1763.00
2026-02-10 00:35:54,0.00,99.00,20.12,49.13,1004.95,20.20,1764.00
2026-02-10 00:40:54,0.00,98.00,20.11,49.12,1004.89,20.20,1763.00
2026-02-10 00:45:54,0.00,95.00,20.13,49.11,1004.85,20.20,1770.00
2026-02-10 00:50:54,0.00,60.00,20.11,49.14,1004.82,20.20,1775.00
2026-02-10 00:55:54,0.00,99.00,20.12,49.11,1004.72,20.20,1768.00
2026-02-10 01:00:54,0.00,23.00,20.13,49.12,1004.62,20.20,1772.00
2026-02-10 01:05:54,0.00,94.00,20.12,49.13,1004.63,20.20,1777.00
2026-02-10 01:10:54,0.00,99.00,20.12,49.11,1004.48,20.20,1772.00
2026-02-10 01:15:54,0.00,0.00,20.13,49.11,1004.45,20.20,1768.00
2026-02-10 01:20:54,0.00,83.00,20.12,49.12,1004.38,20.20,1770.00
2026-02-10 01:25:54,0.00,99.00,20.11,49.13,1004.35,20.20,1771.00
2026-02-10 01:30:54,0.00,16.00,20.12,49.09,1004.25,20.20,1769.00
2026-02-10 01:35:54,0.00,0.00,20.11,49.09,1004.21,20.20,1769.00
2026-02-10 01:40:54,0.00,0.00,20.11,49.13,1004.10,20.20,1770.00
2026-02-10 01:45:54,0.00,99.00,20.12,49.09,1004.05,20.20,1775.00
2026-02-10 01:50:54,0.00,0.00,20.11,49.11,1003.91,20.20,1775.00
2026-02-10 01:55:54,0.00,99.00,20.11,49.10,1003.80,20.20,1771.00
2026-02-10 02:00:54,0.00,0.00,20.12,49.09,1003.73,20.20,1779.00
2026-02-10 02:05:54,0.00,85.00,20.10,49.10,1003.72,20.20,1779.00
2026-02-10 02:10:54,0.00,99.00,20.11,49.09,1003.67,20.20,1771.00
2026-02-10 02:15:54,0.00,89.00,20.11,49.08,1003.60,20.20,1774.00
2026-02-10 02:20:54,0.00,37.00,20.10,49.10,1003.46,20.20,1775.00
2026-02-10 02:25:54,0.00,92.00,20.12,49.10,1003.44,20.20,1775.00
2026-02-10 02:30:54,0.00,99.00,20.11,49.09,1003.47,20.20,1774.00
2026-02-10 02:35:54,0.00,90.00,20.11,49.10,1003.42,20.20,1771.00
2026-02-10 02:40:54,0.00,46.00,20.11,49.10,1003.39,20.20,1764.00
2026-02-10 02:45:54,0.00,95.00,20.11,49.07,1003.35,20.20,1766.00
2026-02-10 02:50:54,0.00,0.00,20.11,49.10,1003.27,20.20,1773.00
2026-02-10 02:55:54,0.00,44.00,20.10,49.10,1003.23,20.20,1778.00
2026-02-10 03:00:54,0.00,26.00,20.10,49.10,1003.23,20.20,1776.00
2026-02-10 03:05:54,0.00,3.00,20.10,49.10,1003.16,20.20,1772.00
2026-02-10 03:10:54,0.00,99.00,20.11,49.12,1003.16,20.20,1770.00
2026-02-10 03:15:54,0.00,50.00,20.11,49.11,1003.06,20.20,1768.00
2026-02-10 03:20:54,0.00,99.00,20.11,49.10,1003.08,20.20,1771.00
2026-02-10 03:25:54,0.00,99.00,20.11,49.09,1003.02,20.20,1766.00
2026-02-10 03:30:54,0.00,0.00,20.10,49.10,1003.01,20.20,1764.00
2026-02-10 03:35:54,0.00,49.00,20.10,49.10,1002.97,20.20,1761.00
2026-02-10 03:40:54,0.00,0.00,20.10,49.13,1002.92,20.20,1764.00
2026-02-10 03:45:54,0.00,97.00,20.11,49.11,1002.87,20.20,1767.00
2026-02-10 03:50:54,0.00,0.00,20.11,49.08,1002.81,20.20,1773.00
2026-02-10 03:55:54,0.00,42.00,20.10,49.11,1002.76,20.20,1759.00
2026-02-10 04:00:54,0.00,85.00,20.11,49.12,1002.69,20.20,1760.00
2026-02-10 04:05:54,0.00,40.00,20.10,49.14,1002.61,20.20,1755.00
2026-02-10 04:10:54,0.00,96.00,20.10,49.11,1002.58,20.20,1754.00
2026-02-10 04:15:54,0.00,85.00,20.10,49.13,1002.60,20.20,1757.00
2026-02-10 04:20:54,0.00,22.00,20.10,49.11,1002.53,20.20,1763.00
2026-02-10 04:25:54,0.00,92.00,20.11,49.13,1002.50,20.20,1760.00
2026-02-10 04:30:54,0.00,37.00,20.10,49.14,1002.41,20.20,1766.00
2026-02-10 04:35:54,0.00,0.00,20.10,49.14,1002.31,20.20,1772.00
2026-02-10 04:40:54,0.00,0.00,20.10,49.12,1002.25,20.20,1761.00
2026-02-10 04:45:54,0.00,83.00,20.09,49.12,1002.17,20.20,1762.00
2026-02-10 04:50:54,0.00,7.00,20.09,49.11,1002.08,20.20,1768.00
2026-02-10 04:55:54,0.00,90.00,20.09,49.11,1001.99,20.20,1764.00
2026-02-10 05:00:54,0.00,82.00,20.08,49.13,1001.92,20.20,1762.00
2026-02-10 05:05:54,0.00,99.00,20.09,49.11,1001.85,20.20,1762.00
2026-02-10 05:10:54,0.00,99.00,20.09,49.11,1001.78,20.20,1760.00
2026-02-10 05:15:54,0.00,89.00,20.08,49.14,1001.76,20.20,1754.00
2026-02-10 05:20:54,0.00,0.00,20.09,49.08,1001.67,20.20,1747.00
2026-02-10 05:25:54,0.00,0.00,20.09,49.12,1001.62,20.20,1752.00
2026-02-10 05:30:54,0.00,99.00,20.08,49.14,1001.63,20.20,1751.00
2026-02-10 05:35:54,0.00,0.00,20.09,49.10,1001.53,20.20,1753.00
2026-02-10 05:40:54,0.00,40.00,20.09,49.09,1001.45,20.20,1745.00
2026-02-10 05:45:54,0.00,46.00,20.08,49.13,1001.41,20.20,1742.00
2026-02-10 05:50:54,0.00,99.00,20.09,49.11,1001.39,20.20,1741.00
2026-02-10 05:55:54,0.00,64.00,20.09,49.13,1001.34,20.20,1749.00
2026-02-10 06:00:54,82.00,47.00,20.08,49.12,1001.22,20.20,1746.00
2026-02-10 06:05:54,82.00,97.00,20.17,49.04,1001.11,20.20,1753.00
2026-02-10 06:10:54,82.00,46.00,20.24,49.00,1001.01,20.20,1743.00
2026-02-10 06:15:54,82.00,99.00,20.29,48.95,1000.96,20.20,1746.00
2026-02-10 06:20:54,82.00,90.00,20.34,48.87,1000.94,20.20,1749.00
2026-02-10 06:25:54,82.00,32.00,20.37,48.79,1000.86,20.20,1750.00
2026-02-10 06:30:54,82.00,27.00,20.40,48.79,1000.75,20.20,1751.00
2026-02-10 06:35:54,82.00,99.00,20.42,48.79,1000.73,20.20,1756.00
2026-02-10 06:40:54,82.00,79.00,20.44,48.75,1000.76,20.20,1766.00
2026-02-10 06:45:54,80.00,98.00,20.46,48.76,1000.86,20.20,1758.00
2026-02-10 06:50:54,82.00,99.00,20.46,48.73,1000.75,20.20,1756.00
2026-02-10 06:55:54,81.00,70.00,20.48,48.67,1000.76,20.20,1764.00
2026-02-10 07:00:54,82.00,95.00,20.48,48.71,1000.76,20.20,1755.00
